,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,math_grades,reading_grades,writing_grades
292,male,group C,some high school,standard,completed,63,60,57,Sufficient(D),Sufficient(D),Sufficient(D)
293,female,group E,bachelor's degree,standard,none,65,73,75,Satisfactory(C),Satisfactory(C),Satisfactory(C)
294,male,group D,high school,free/reduced,completed,78,77,80,Satisfactory(C),Satisfactory(C),Good(B)
295,male,group B,associate's degree,free/reduced,none,67,62,60,Satisfactory(C),Sufficient(D),Sufficient(D)
296,male,group A,some high school,standard,completed,46,41,43,Fail(F),Fail(F),Fail(F)
297,male,group E,associate's degree,standard,completed,71,74,68,Satisfactory(C),Satisfactory(C),Satisfactory(C)
298,male,group C,high school,free/reduced,completed,40,46,50,Fail(F),Fail(F),Fail(F)
299,male,group D,associate's degree,free/reduced,none,90,87,75,Really good(A),Good(B),Satisfactory(C)
300,male,group A,some college,free/reduced,completed,81,78,81,Good(B),Satisfactory(C),Good(B)
301,male,group D,some high school,free/reduced,none,56,54,52,Sufficient(D),Sufficient(D),Sufficient(D)
302,female,group C,associate's degree,standard,completed,67,84,81,Satisfactory(C),Good(B),Good(B)
303,male,group B,associate's degree,standard,none,80,76,64,Good(B),Satisfactory(C),Satisfactory(C)
304,female,group C,associate's degree,standard,completed,74,75,83,Satisfactory(C),Satisfactory(C),Good(B)
305,male,group A,some college,standard,none,69,67,69,Satisfactory(C),Satisfactory(C),Satisfactory(C)
306,male,group E,some college,standard,completed,99,87,81,Really good(A),Good(B),Good(B)
307,male,group C,some high school,standard,none,51,52,44,Sufficient(D),Sufficient(D),Fail(F)
308,female,group B,associate's degree,free/reduced,none,53,71,67,Sufficient(D),Satisfactory(C),Satisfactory(C)
309,female,group D,high school,free/reduced,none,49,57,52,Fail(F),Sufficient(D),Sufficient(D)
310,female,group B,associate's degree,standard,none,73,76,80,Satisfactory(C),Satisfactory(C),Good(B)
311,male,group B,bachelor's degree,standard,none,66,60,57,Satisfactory(C),Sufficient(D),Sufficient(D)
312,male,group D,bachelor's degree,standard,completed,67,61,68,Satisfactory(C),Sufficient(D),Satisfactory(C)
313,female,group C,associate's degree,free/reduced,completed,68,67,69,Satisfactory(C),Satisfactory(C),Satisfactory(C)
314,female,group C,bachelor's degree,standard,completed,59,64,75,Sufficient(D),Satisfactory(C),Satisfactory(C)
315,male,group C,high school,standard,none,71,66,65,Satisfactory(C),Satisfactory(C),Satisfactory(C)
316,female,group D,master's degree,standard,completed,77,82,91,Satisfactory(C),Good(B),Really good(A)
317,male,group C,associate's degree,standard,none,83,72,78,Good(B),Satisfactory(C),Satisfactory(C)
318,male,group B,bachelor's degree,standard,none,63,71,69,Sufficient(D),Satisfactory(C),Satisfactory(C)
319,female,group D,associate's degree,free/reduced,none,56,65,63,Sufficient(D),Satisfactory(C),Sufficient(D)
320,female,group C,high school,free/reduced,completed,67,79,84,Satisfactory(C),Satisfactory(C),Good(B)
321,female,group E,high school,standard,none,75,86,79,Satisfactory(C),Good(B),Satisfactory(C)
322,female,group C,some college,standard,none,71,81,80,Satisfactory(C),Good(B),Good(B)
323,female,group C,some high school,free/reduced,none,43,53,53,Fail(F),Sufficient(D),Sufficient(D)
324,female,group C,high school,free/reduced,none,41,46,43,Fail(F),Fail(F),Fail(F)
325,female,group C,some college,standard,none,82,90,94,Good(B),Really good(A),Really good(A)
326,male,group C,some college,standard,none,61,61,62,Sufficient(D),Sufficient(D),Sufficient(D)
327,male,group A,some college,free/reduced,none,28,23,19,Fail(F),Fail(F),Fail(F)
328,male,group C,associate's degree,standard,completed,82,75,77,Good(B),Satisfactory(C),Satisfactory(C)
329,female,group B,some high school,standard,none,41,55,51,Fail(F),Sufficient(D),Sufficient(D)
330,male,group C,high school,standard,none,71,60,61,Satisfactory(C),Sufficient(D),Sufficient(D)
331,male,group C,associate's degree,standard,none,47,37,35,Fail(F),Fail(F),Fail(F)
332,male,group E,associate's degree,standard,completed,62,56,53,Sufficient(D),Sufficient(D),Sufficient(D)
333,male,group B,associate's degree,standard,none,90,78,81,Really good(A),Satisfactory(C),Good(B)
334,female,group C,bachelor's degree,standard,none,83,93,95,Good(B),Really good(A),Really good(A)
335,female,group B,some college,free/reduced,none,61,68,66,Sufficient(D),Satisfactory(C),Satisfactory(C)
336,male,group D,some high school,standard,completed,76,70,69,Satisfactory(C),Satisfactory(C),Satisfactory(C)
337,male,group C,associate's degree,standard,none,49,51,43,Fail(F),Sufficient(D),Fail(F)
338,female,group B,some high school,free/reduced,none,24,38,27,Fail(F),Fail(F),Fail(F)
339,female,group D,some high school,free/reduced,completed,35,55,60,Fail(F),Sufficient(D),Sufficient(D)
340,male,group C,high school,free/reduced,none,58,61,52,Sufficient(D),Sufficient(D),Sufficient(D)
341,female,group C,high school,standard,none,61,73,63,Sufficient(D),Satisfactory(C),Sufficient(D)
342,female,group B,high school,standard,completed,69,76,74,Satisfactory(C),Satisfactory(C),Satisfactory(C)
343,male,group D,associate's degree,standard,completed,67,72,67,Satisfactory(C),Satisfactory(C),Satisfactory(C)
344,male,group D,some college,standard,none,79,73,67,Satisfactory(C),Satisfactory(C),Satisfactory(C)
345,female,group C,high school,standard,none,72,80,75,Satisfactory(C),Good(B),Satisfactory(C)
346,male,group B,some college,standard,none,62,61,57,Sufficient(D),Sufficient(D),Sufficient(D)
347,female,group C,bachelor's degree,standard,completed,77,94,95,Satisfactory(C),Really good(A),Really good(A)
348,male,group D,high school,free/reduced,none,75,74,66,Satisfactory(C),Satisfactory(C),Satisfactory(C)
349,male,group E,associate's degree,standard,none,87,74,76,Good(B),Satisfactory(C),Satisfactory(C)
350,female,group B,bachelor's degree,standard,none,52,65,69,Sufficient(D),Satisfactory(C),Satisfactory(C)
351,male,group E,some college,standard,none,66,57,52,Satisfactory(C),Sufficient(D),Sufficient(D)
352,female,group C,some college,standard,completed,63,78,80,Sufficient(D),Satisfactory(C),Good(B)
353,female,group C,associate's degree,standard,none,46,58,57,Fail(F),Sufficient(D),Sufficient(D)
354,female,group C,some college,standard,none,59,71,70,Sufficient(D),Satisfactory(C),Satisfactory(C)
355,female,group B,bachelor's degree,standard,none,61,72,70,Sufficient(D),Satisfactory(C),Satisfactory(C)
356,male,group A,associate's degree,standard,none,63,61,61,Sufficient(D),Sufficient(D),Sufficient(D)
357,female,group C,some college,free/reduced,completed,42,66,69,Fail(F),Satisfactory(C),Satisfactory(C)
358,male,group D,some college,free/reduced,none,59,62,61,Sufficient(D),Sufficient(D),Sufficient(D)
359,female,group D,some college,standard,none,80,90,89,Good(B),Really good(A),Good(B)
360,female,group B,high school,standard,none,58,62,59,Sufficient(D),Sufficient(D),Sufficient(D)
361,male,group B,some high school,standard,completed,85,84,78,Good(B),Good(B),Satisfactory(C)
362,female,group C,some college,standard,none,52,58,58,Sufficient(D),Sufficient(D),Sufficient(D)
363,female,group D,some high school,free/reduced,none,27,34,32,Fail(F),Fail(F),Fail(F)
364,male,group C,some college,standard,none,59,60,58,Sufficient(D),Sufficient(D),Sufficient(D)
365,male,group A,bachelor's degree,free/reduced,completed,49,58,60,Fail(F),Sufficient(D),Sufficient(D)
366,male,group C,high school,standard,completed,69,58,53,Satisfactory(C),Sufficient(D),Sufficient(D)
367,male,group C,bachelor's degree,free/reduced,none,61,66,61,Sufficient(D),Satisfactory(C),Sufficient(D)
368,female,group A,some high school,free/reduced,none,44,64,58,Fail(F),Satisfactory(C),Sufficient(D)
369,female,group D,some high school,standard,none,73,84,85,Satisfactory(C),Good(B),Good(B)
370,male,group E,some college,standard,none,84,77,71,Good(B),Satisfactory(C),Satisfactory(C)
371,female,group C,some college,free/reduced,completed,45,73,70,Fail(F),Satisfactory(C),Satisfactory(C)
372,male,group D,some high school,standard,none,74,74,72,Satisfactory(C),Satisfactory(C),Satisfactory(C)
373,female,group D,some college,standard,completed,82,97,96,Good(B),Really good(A),Really good(A)
374,female,group D,bachelor's degree,standard,none,59,70,73,Sufficient(D),Satisfactory(C),Satisfactory(C)
375,male,group E,associate's degree,free/reduced,none,46,43,41,Fail(F),Fail(F),Fail(F)
376,female,group D,some high school,standard,none,80,90,82,Good(B),Really good(A),Good(B)
377,female,group D,master's degree,free/reduced,completed,85,95,100,Good(B),Really good(A),Really good(A)
378,female,group A,some high school,standard,none,71,83,77,Satisfactory(C),Good(B),Satisfactory(C)
379,male,group A,bachelor's degree,standard,none,66,64,62,Satisfactory(C),Satisfactory(C),Sufficient(D)
380,female,group B,associate's degree,standard,none,80,86,83,Good(B),Good(B),Good(B)
381,male,group C,associate's degree,standard,completed,87,100,95,Good(B),Really good(A),Really good(A)
382,male,group C,master's degree,free/reduced,none,79,81,71,Satisfactory(C),Good(B),Satisfactory(C)
383,female,group E,some high school,free/reduced,none,38,49,45,Fail(F),Fail(F),Fail(F)
384,female,group A,some high school,free/reduced,none,38,43,43,Fail(F),Fail(F),Fail(F)
385,female,group E,some college,standard,none,67,76,75,Satisfactory(C),Satisfactory(C),Satisfactory(C)
386,female,group E,bachelor's degree,standard,none,64,73,70,Satisfactory(C),Satisfactory(C),Satisfactory(C)
387,female,group C,associate's degree,free/reduced,none,57,78,67,Sufficient(D),Satisfactory(C),Satisfactory(C)
388,female,group D,high school,standard,none,62,64,64,Sufficient(D),Satisfactory(C),Satisfactory(C)
389,male,group D,master's degree,standard,none,73,70,75,Satisfactory(C),Satisfactory(C),Satisfactory(C)
390,male,group E,some high school,free/reduced,completed,73,67,59,Satisfactory(C),Satisfactory(C),Sufficient(D)
391,female,group D,some college,standard,none,77,68,77,Satisfactory(C),Satisfactory(C),Satisfactory(C)
392,male,group E,some college,standard,none,76,67,67,Satisfactory(C),Satisfactory(C),Satisfactory(C)
393,male,group C,associate's degree,standard,completed,57,54,56,Sufficient(D),Sufficient(D),Sufficient(D)
394,female,group C,some high school,standard,completed,65,74,77,Satisfactory(C),Satisfactory(C),Satisfactory(C)
395,male,group A,high school,free/reduced,none,48,45,41,Fail(F),Fail(F),Fail(F)
396,female,group B,high school,free/reduced,none,50,67,63,Fail(F),Satisfactory(C),Sufficient(D)
397,female,group C,associate's degree,standard,none,85,89,95,Good(B),Good(B),Really good(A)
398,male,group B,some high school,standard,none,74,63,57,Satisfactory(C),Sufficient(D),Sufficient(D)
399,male,group D,some high school,standard,none,60,59,54,Sufficient(D),Sufficient(D),Sufficient(D)
400,female,group C,some high school,standard,completed,59,54,67,Sufficient(D),Sufficient(D),Satisfactory(C)
401,male,group A,some college,standard,none,53,43,43,Sufficient(D),Fail(F),Fail(F)
402,female,group A,some college,free/reduced,none,49,65,55,Fail(F),Satisfactory(C),Sufficient(D)
403,female,group D,high school,standard,completed,88,99,100,Good(B),Really good(A),Really good(A)
404,female,group C,high school,standard,none,54,59,62,Sufficient(D),Sufficient(D),Sufficient(D)
405,female,group C,some high school,standard,none,63,73,68,Sufficient(D),Satisfactory(C),Satisfactory(C)
406,male,group B,associate's degree,standard,completed,65,65,63,Satisfactory(C),Satisfactory(C),Sufficient(D)
407,female,group B,associate's degree,standard,none,82,80,77,Good(B),Good(B),Satisfactory(C)
408,female,group D,high school,free/reduced,completed,52,57,56,Sufficient(D),Sufficient(D),Sufficient(D)
409,male,group D,associate's degree,standard,completed,87,84,85,Good(B),Good(B),Good(B)
410,female,group D,master's degree,standard,completed,70,71,74,Satisfactory(C),Satisfactory(C),Satisfactory(C)
411,male,group E,some college,standard,completed,84,83,78,Good(B),Good(B),Satisfactory(C)
412,male,group D,associate's degree,standard,none,71,66,60,Satisfactory(C),Satisfactory(C),Sufficient(D)
413,male,group B,some high school,standard,completed,63,67,67,Sufficient(D),Satisfactory(C),Satisfactory(C)
414,female,group C,bachelor's degree,free/reduced,completed,51,72,79,Sufficient(D),Satisfactory(C),Satisfactory(C)
415,male,group E,high school,standard,none,84,73,69,Good(B),Satisfactory(C),Satisfactory(C)
416,male,group C,bachelor's degree,standard,completed,71,74,68,Satisfactory(C),Satisfactory(C),Satisfactory(C)
417,male,group C,associate's degree,standard,none,74,73,67,Satisfactory(C),Satisfactory(C),Satisfactory(C)
418,male,group D,some college,standard,none,68,59,62,Satisfactory(C),Sufficient(D),Sufficient(D)
419,male,group E,high school,free/reduced,completed,57,56,54,Sufficient(D),Sufficient(D),Sufficient(D)
420,female,group C,associate's degree,free/reduced,completed,82,93,93,Good(B),Really good(A),Really good(A)
421,female,group D,high school,standard,completed,57,58,64,Sufficient(D),Sufficient(D),Satisfactory(C)
422,female,group D,master's degree,free/reduced,completed,47,58,67,Fail(F),Sufficient(D),Satisfactory(C)
423,female,group A,some high school,standard,completed,59,85,80,Sufficient(D),Good(B),Good(B)
424,male,group B,some college,free/reduced,none,41,39,34,Fail(F),Fail(F),Fail(F)
425,female,group C,some college,free/reduced,none,62,67,62,Sufficient(D),Satisfactory(C),Sufficient(D)
426,male,group C,bachelor's degree,standard,none,86,83,86,Good(B),Good(B),Good(B)
427,male,group C,some high school,free/reduced,none,69,71,65,Satisfactory(C),Satisfactory(C),Satisfactory(C)
428,male,group A,some high school,free/reduced,none,65,59,53,Satisfactory(C),Sufficient(D),Sufficient(D)
429,male,group C,some high school,free/reduced,none,68,63,54,Satisfactory(C),Sufficient(D),Sufficient(D)
430,male,group C,associate's degree,free/reduced,none,64,66,59,Satisfactory(C),Satisfactory(C),Sufficient(D)
431,female,group C,high school,standard,none,61,72,70,Sufficient(D),Satisfactory(C),Satisfactory(C)
432,male,group C,high school,standard,none,61,56,55,Sufficient(D),Sufficient(D),Sufficient(D)
433,female,group A,some high school,free/reduced,none,47,59,50,Fail(F),Sufficient(D),Fail(F)
434,male,group C,some high school,standard,none,73,66,66,Satisfactory(C),Satisfactory(C),Satisfactory(C)
435,male,group C,some college,free/reduced,completed,50,48,53,Fail(F),Fail(F),Sufficient(D)
436,male,group D,associate's degree,standard,none,75,68,64,Satisfactory(C),Satisfactory(C),Satisfactory(C)
437,male,group D,associate's degree,free/reduced,none,75,66,73,Satisfactory(C),Satisfactory(C),Satisfactory(C)
438,male,group C,high school,standard,none,70,56,51,Satisfactory(C),Sufficient(D),Sufficient(D)
439,male,group D,some high school,standard,completed,89,88,82,Good(B),Good(B),Good(B)
440,female,group C,some college,standard,completed,67,81,79,Satisfactory(C),Good(B),Satisfactory(C)
441,female,group D,high school,standard,none,78,81,80,Satisfactory(C),Good(B),Good(B)
442,female,group A,some high school,free/reduced,none,59,73,69,Sufficient(D),Satisfactory(C),Satisfactory(C)
443,female,group B,associate's degree,standard,none,73,83,76,Satisfactory(C),Good(B),Satisfactory(C)
444,male,group A,some high school,free/reduced,none,79,82,73,Satisfactory(C),Good(B),Satisfactory(C)
445,female,group C,some high school,standard,completed,67,74,77,Satisfactory(C),Satisfactory(C),Satisfactory(C)
446,male,group D,some college,free/reduced,none,69,66,60,Satisfactory(C),Satisfactory(C),Sufficient(D)
447,male,group C,high school,standard,completed,86,81,80,Good(B),Good(B),Good(B)
448,male,group B,high school,standard,none,47,46,42,Fail(F),Fail(F),Fail(F)
449,male,group B,associate's degree,standard,none,81,73,72,Good(B),Satisfactory(C),Satisfactory(C)
450,female,group C,some college,free/reduced,completed,64,85,85,Satisfactory(C),Good(B),Good(B)
451,female,group E,some college,standard,none,100,92,97,Really good(A),Really good(A),Really good(A)
452,female,group C,associate's degree,free/reduced,none,65,77,74,Satisfactory(C),Satisfactory(C),Satisfactory(C)
453,male,group C,some college,free/reduced,none,65,58,49,Satisfactory(C),Sufficient(D),Fail(F)
454,female,group C,associate's degree,free/reduced,none,53,61,62,Sufficient(D),Sufficient(D),Sufficient(D)
455,male,group C,bachelor's degree,free/reduced,none,37,56,47,Fail(F),Sufficient(D),Fail(F)
456,female,group D,bachelor's degree,standard,none,79,89,89,Satisfactory(C),Good(B),Good(B)
457,male,group D,associate's degree,free/reduced,none,53,54,48,Sufficient(D),Sufficient(D),Fail(F)
458,female,group E,bachelor's degree,standard,none,100,100,100,Really good(A),Really good(A),Really good(A)
459,male,group B,high school,standard,completed,72,65,68,Satisfactory(C),Satisfactory(C),Satisfactory(C)
460,male,group C,bachelor's degree,free/reduced,none,53,58,55,Sufficient(D),Sufficient(D),Sufficient(D)
461,male,group B,some college,free/reduced,none,54,54,45,Sufficient(D),Sufficient(D),Fail(F)
462,female,group E,some college,standard,none,71,70,76,Satisfactory(C),Satisfactory(C),Satisfactory(C)
463,female,group C,some college,free/reduced,none,77,90,91,Satisfactory(C),Really good(A),Really good(A)
464,male,group A,bachelor's degree,standard,completed,75,58,62,Satisfactory(C),Sufficient(D),Sufficient(D)
465,female,group C,some college,standard,none,84,87,91,Good(B),Good(B),Really good(A)
466,female,group D,associate's degree,free/reduced,none,26,31,38,Fail(F),Fail(F),Fail(F)
467,male,group A,high school,free/reduced,completed,72,67,65,Satisfactory(C),Satisfactory(C),Satisfactory(C)
468,female,group A,high school,free/reduced,completed,77,88,85,Satisfactory(C),Good(B),Good(B)
469,male,group C,some college,standard,none,91,74,76,Really good(A),Satisfactory(C),Satisfactory(C)
470,female,group C,associate's degree,standard,completed,83,85,90,Good(B),Good(B),Really good(A)
471,female,group C,high school,standard,none,63,69,74,Sufficient(D),Satisfactory(C),Satisfactory(C)
472,female,group C,associate's degree,standard,completed,68,86,84,Satisfactory(C),Good(B),Good(B)
473,female,group D,some high school,standard,none,59,67,61,Sufficient(D),Satisfactory(C),Sufficient(D)
474,female,group B,associate's degree,standard,completed,90,90,91,Really good(A),Really good(A),Really good(A)
475,female,group D,bachelor's degree,standard,completed,71,76,83,Satisfactory(C),Satisfactory(C),Good(B)
476,male,group E,bachelor's degree,standard,completed,76,62,66,Satisfactory(C),Sufficient(D),Satisfactory(C)
477,male,group D,associate's degree,standard,none,80,68,72,Good(B),Satisfactory(C),Satisfactory(C)
478,female,group D,master's degree,standard,none,55,64,70,Sufficient(D),Satisfactory(C),Satisfactory(C)
479,male,group E,associate's degree,standard,none,76,71,67,Satisfactory(C),Satisfactory(C),Satisfactory(C)
480,male,group B,high school,standard,completed,73,71,68,Satisfactory(C),Satisfactory(C),Satisfactory(C)
481,female,group D,associate's degree,free/reduced,none,52,59,56,Sufficient(D),Sufficient(D),Sufficient(D)
482,male,group C,some college,free/reduced,none,68,68,61,Satisfactory(C),Satisfactory(C),Sufficient(D)
483,male,group A,high school,standard,none,59,52,46,Sufficient(D),Sufficient(D),Fail(F)
484,female,group B,associate's degree,standard,none,49,52,54,Fail(F),Sufficient(D),Sufficient(D)
485,male,group C,high school,standard,none,70,74,71,Satisfactory(C),Satisfactory(C),Satisfactory(C)
486,male,group D,some college,free/reduced,none,61,47,56,Sufficient(D),Fail(F),Sufficient(D)
487,female,group C,associate's degree,free/reduced,none,60,75,74,Sufficient(D),Satisfactory(C),Satisfactory(C)
488,male,group B,some high school,standard,completed,64,53,57,Satisfactory(C),Sufficient(D),Sufficient(D)
489,male,group A,associate's degree,free/reduced,completed,79,82,82,Satisfactory(C),Good(B),Good(B)
490,female,group A,associate's degree,free/reduced,none,65,85,76,Satisfactory(C),Good(B),Satisfactory(C)
491,female,group C,associate's degree,standard,none,64,64,70,Satisfactory(C),Satisfactory(C),Satisfactory(C)
492,female,group C,some college,standard,none,83,83,90,Good(B),Good(B),Really good(A)
493,female,group C,bachelor's degree,standard,none,81,88,90,Good(B),Good(B),Really good(A)
494,female,group B,high school,standard,none,54,64,68,Sufficient(D),Satisfactory(C),Satisfactory(C)
495,male,group D,high school,standard,completed,68,64,66,Satisfactory(C),Satisfactory(C),Satisfactory(C)
496,female,group C,some college,standard,none,54,48,52,Sufficient(D),Fail(F),Sufficient(D)
497,female,group D,some college,free/reduced,completed,59,78,76,Sufficient(D),Satisfactory(C),Satisfactory(C)
498,female,group B,some high school,standard,none,66,69,68,Satisfactory(C),Satisfactory(C),Satisfactory(C)
499,male,group E,some college,standard,none,76,71,72,Satisfactory(C),Satisfactory(C),Satisfactory(C)
500,female,group D,master's degree,standard,none,74,79,82,Satisfactory(C),Satisfactory(C),Good(B)
501,female,group B,associate's degree,standard,completed,94,87,92,Really good(A),Good(B),Really good(A)
502,male,group C,some college,free/reduced,none,63,61,54,Sufficient(D),Sufficient(D),Sufficient(D)
503,female,group E,associate's degree,standard,completed,95,89,92,Really good(A),Good(B),Really good(A)
504,female,group D,master's degree,free/reduced,none,40,59,54,Fail(F),Sufficient(D),Sufficient(D)
505,female,group B,some high school,standard,none,82,82,80,Good(B),Good(B),Good(B)
506,male,group A,high school,standard,none,68,70,66,Satisfactory(C),Satisfactory(C),Satisfactory(C)
507,male,group B,bachelor's degree,free/reduced,none,55,59,54,Sufficient(D),Sufficient(D),Sufficient(D)
508,male,group C,master's degree,standard,none,79,78,77,Satisfactory(C),Satisfactory(C),Satisfactory(C)
509,female,group C,bachelor's degree,standard,none,86,92,87,Good(B),Really good(A),Good(B)
510,male,group D,some college,standard,none,76,71,73,Satisfactory(C),Satisfactory(C),Satisfactory(C)
511,male,group A,some high school,standard,none,64,50,43,Satisfactory(C),Fail(F),Fail(F)
512,male,group D,some high school,free/reduced,none,62,49,52,Sufficient(D),Fail(F),Sufficient(D)
513,female,group B,some high school,standard,completed,54,61,62,Sufficient(D),Sufficient(D),Sufficient(D)
514,female,group B,master's degree,free/reduced,completed,77,97,94,Satisfactory(C),Really good(A),Really good(A)
515,female,group C,some high school,standard,completed,76,87,85,Satisfactory(C),Good(B),Good(B)
516,female,group D,some college,standard,none,74,89,84,Satisfactory(C),Good(B),Good(B)
517,female,group E,some college,standard,completed,66,74,73,Satisfactory(C),Satisfactory(C),Satisfactory(C)
518,female,group D,some high school,standard,completed,66,78,78,Satisfactory(C),Satisfactory(C),Satisfactory(C)
519,female,group B,high school,free/reduced,completed,67,78,79,Satisfactory(C),Satisfactory(C),Satisfactory(C)
520,male,group D,some college,standard,none,71,49,52,Satisfactory(C),Fail(F),Sufficient(D)
521,female,group C,associate's degree,standard,none,91,86,84,Really good(A),Good(B),Good(B)
522,male,group D,bachelor's degree,standard,none,69,58,57,Satisfactory(C),Sufficient(D),Sufficient(D)
523,male,group C,master's degree,free/reduced,none,54,59,50,Sufficient(D),Sufficient(D),Fail(F)
524,male,group C,high school,standard,completed,53,52,49,Sufficient(D),Sufficient(D),Fail(F)
525,male,group E,some college,standard,none,68,60,59,Satisfactory(C),Sufficient(D),Sufficient(D)
526,male,group C,some high school,free/reduced,completed,56,61,60,Sufficient(D),Sufficient(D),Sufficient(D)
527,female,group C,high school,free/reduced,none,36,53,43,Fail(F),Sufficient(D),Fail(F)
528,female,group D,bachelor's degree,free/reduced,none,29,41,47,Fail(F),Fail(F),Fail(F)
529,female,group C,associate's degree,standard,none,62,74,70,Sufficient(D),Satisfactory(C),Satisfactory(C)
530,female,group C,associate's degree,standard,completed,68,67,73,Satisfactory(C),Satisfactory(C),Satisfactory(C)
531,female,group C,some high school,standard,none,47,54,53,Fail(F),Sufficient(D),Sufficient(D)
532,male,group E,associate's degree,standard,completed,62,61,58,Sufficient(D),Sufficient(D),Sufficient(D)
533,female,group E,associate's degree,standard,completed,79,88,94,Satisfactory(C),Good(B),Really good(A)
534,male,group B,high school,standard,completed,73,69,68,Satisfactory(C),Satisfactory(C),Satisfactory(C)
535,female,group C,bachelor's degree,free/reduced,completed,66,83,83,Satisfactory(C),Good(B),Good(B)
536,male,group C,associate's degree,standard,completed,51,60,58,Sufficient(D),Sufficient(D),Sufficient(D)
537,female,group D,high school,standard,none,51,66,62,Sufficient(D),Satisfactory(C),Sufficient(D)
538,male,group E,bachelor's degree,standard,completed,85,66,71,Good(B),Satisfactory(C),Satisfactory(C)
539,male,group A,associate's degree,standard,completed,97,92,86,Really good(A),Really good(A),Good(B)
540,male,group C,high school,standard,completed,75,69,68,Satisfactory(C),Satisfactory(C),Satisfactory(C)
541,male,group D,associate's degree,free/reduced,completed,79,82,80,Satisfactory(C),Good(B),Good(B)
542,female,group C,associate's degree,standard,none,81,77,79,Good(B),Satisfactory(C),Satisfactory(C)
543,female,group D,associate's degree,standard,none,82,95,89,Good(B),Really good(A),Good(B)
544,female,group D,master's degree,standard,none,64,63,66,Satisfactory(C),Sufficient(D),Satisfactory(C)
545,male,group E,some high school,free/reduced,completed,78,83,80,Satisfactory(C),Good(B),Good(B)
546,female,group A,some high school,standard,completed,92,100,97,Really good(A),Really good(A),Really good(A)
547,male,group C,high school,standard,completed,72,67,64,Satisfactory(C),Satisfactory(C),Satisfactory(C)
548,female,group C,high school,free/reduced,none,62,67,64,Sufficient(D),Satisfactory(C),Satisfactory(C)
549,male,group C,master's degree,standard,none,79,72,69,Satisfactory(C),Satisfactory(C),Satisfactory(C)
550,male,group C,some high school,free/reduced,none,79,76,65,Satisfactory(C),Satisfactory(C),Satisfactory(C)
551,male,group B,bachelor's degree,free/reduced,completed,87,90,88,Good(B),Really good(A),Good(B)
552,female,group B,associate's degree,standard,none,40,48,50,Fail(F),Fail(F),Fail(F)
553,male,group D,some college,free/reduced,none,77,62,64,Satisfactory(C),Sufficient(D),Satisfactory(C)
554,male,group E,associate's degree,standard,none,53,45,40,Sufficient(D),Fail(F),Fail(F)
555,female,group C,some college,free/reduced,none,32,39,33,Fail(F),Fail(F),Fail(F)
556,female,group C,associate's degree,standard,completed,55,72,79,Sufficient(D),Satisfactory(C),Satisfactory(C)
557,male,group C,master's degree,free/reduced,none,61,67,66,Sufficient(D),Satisfactory(C),Satisfactory(C)
558,female,group B,associate's degree,free/reduced,none,53,70,70,Sufficient(D),Satisfactory(C),Satisfactory(C)
559,male,group D,some high school,standard,none,73,66,62,Satisfactory(C),Satisfactory(C),Sufficient(D)
560,female,group D,some college,standard,completed,74,75,79,Satisfactory(C),Satisfactory(C),Satisfactory(C)
561,female,group C,some college,standard,none,63,74,74,Sufficient(D),Satisfactory(C),Satisfactory(C)
562,male,group C,bachelor's degree,standard,completed,96,90,92,Really good(A),Really good(A),Really good(A)
563,female,group D,some college,free/reduced,completed,63,80,80,Sufficient(D),Good(B),Good(B)
564,male,group B,bachelor's degree,free/reduced,none,48,51,46,Fail(F),Sufficient(D),Fail(F)
565,male,group B,associate's degree,standard,none,48,43,45,Fail(F),Fail(F),Fail(F)
566,female,group E,bachelor's degree,free/reduced,completed,92,100,100,Really good(A),Really good(A),Really good(A)
567,female,group D,master's degree,free/reduced,completed,61,71,78,Sufficient(D),Satisfactory(C),Satisfactory(C)
568,male,group B,high school,free/reduced,none,63,48,47,Sufficient(D),Fail(F),Fail(F)
569,male,group D,bachelor's degree,free/reduced,none,68,68,67,Satisfactory(C),Satisfactory(C),Satisfactory(C)
570,male,group B,some college,standard,completed,71,75,70,Satisfactory(C),Satisfactory(C),Satisfactory(C)
571,male,group A,bachelor's degree,standard,none,91,96,92,Really good(A),Really good(A),Really good(A)
572,female,group C,some college,standard,none,53,62,56,Sufficient(D),Sufficient(D),Sufficient(D)
573,female,group C,high school,free/reduced,completed,50,66,64,Fail(F),Satisfactory(C),Satisfactory(C)
574,female,group E,high school,standard,none,74,81,71,Satisfactory(C),Good(B),Satisfactory(C)
575,male,group A,associate's degree,free/reduced,completed,40,55,53,Fail(F),Sufficient(D),Sufficient(D)
576,male,group A,some college,standard,completed,61,51,52,Sufficient(D),Sufficient(D),Sufficient(D)
577,female,group B,high school,standard,none,81,91,89,Good(B),Really good(A),Good(B)
578,female,group B,some college,free/reduced,completed,48,56,58,Fail(F),Sufficient(D),Sufficient(D)
579,female,group D,master's degree,standard,none,53,61,68,Sufficient(D),Sufficient(D),Satisfactory(C)
580,female,group D,some high school,standard,none,81,97,96,Good(B),Really good(A),Really good(A)
581,female,group E,some high school,standard,none,77,79,80,Satisfactory(C),Satisfactory(C),Good(B)
582,female,group D,bachelor's degree,free/reduced,none,63,73,78,Sufficient(D),Satisfactory(C),Satisfactory(C)
